"id","kingdom","phylum","class","subclass","infraclass","subterclass","superorder","superfamily","family","genus","species","subphylum","order","subfamily","superclass","suborder","infraorder","parvorder","subkingdom","infrakingdom","tribe","subgenus","infraphylum","parvphylum","gigaclass","megaclass","phylum_division","subphylum_subdivision","subtribe","section","subsection","subspecies","epifamily"
"535648","Animalia","Mollusca","Gastropoda","Caenogastropoda",NA,NA,NA,"Rissooidea","Barleeiidae","Pseudodiala","Pseudodiala acuta",NA,"Littorinimorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355209","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Ameiridae","Pseudoleptomesochra","Pseudoleptomesochra typica","Crustacea","Harpacticoida",NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434771","Animalia","Mollusca","Gastropoda","Caenogastropoda",NA,NA,NA,"Conoidea","Pseudomelatomidae","Pseudomelatoma","Pseudomelatoma torosa",NA,"Neogastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128899","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Myicolidae","Pseudomyicola","Pseudomyicola spinosus","Crustacea","Cyclopoida",NA,"Multicrustacea","Ergasilida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355224","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Laophontidae","Pseudonychocamptus","Pseudonychocamptus paraproximus","Crustacea","Harpacticoida",NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355225","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Laophontidae","Pseudonychocamptus","Pseudonychocamptus spinifer","Crustacea","Harpacticoida",NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331426","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata",NA,NA,NA,"Sabellidae","Pseudopotamilla","Pseudopotamilla socialis",NA,"Sabellida","Sabellinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409165","Animalia","Arthropoda","Malacostraca","Hoplocarida",NA,NA,NA,"Parasquilloidea","Parasquillidae","Pseudosquillopsis","Pseudosquillopsis marmorata","Crustacea","Stomatopoda",NA,"Multicrustacea","Unipeltata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484603","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,NA,"Pseudostomidae","Pseudostomum","Pseudostomum californicum","Rhabditophora","Prolecithophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360377","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Ameiridae","Psyllocamptus","Psyllocamptus triarticulatus","Crustacea","Harpacticoida",NA,"Multicrustacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
