consumerNum,consumerName,life_stage,consumerCat,trophic_strategy,source,preys_on,parasitic_on,zone,habitat_notes
867,Microporella cribrosa,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on rock, shell, algae, pilings"
868,Microporella infundibulipora,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
869,Microporella planata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on shell, stone"
870,Microporella umboniformis,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
823,Micropora santacruzana,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
789,Diaperoforma californica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,intertidal
133,Primavelans insculpta,adult,bryozoan,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,"middle, low","encrusting on shells; on rock, shell, algae, bryozoans, hydroids"
861,Primavelans mexicana,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on shell, stone"
876,Phidolopora pacifica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,attached to hard substrate
881,Rhynchozoon rostratum,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,NA,"on rock, shell, other hard substrates;"
790,Diplosolen harmelini,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,intertidal
856,Haywardipora major,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on rock, shell"
857,Haywardipora orbicula,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
858,Haywardipora rugosa,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on hard substrates, other bryozoans"
859,Haywardipora rylandi,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
132,Schizoporella unicornis,adult,bryozoan,filter feeder,"Morris, Abbott, & Haderlie",not reported,NA,low,NA
849,Dengordonia uniporosa,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
873,Parasmittina collifera,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"common intertidally off Oregon, central California, deeper water off Mexico"
874,Parasmittina trispinosa,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on gravel, sponge, shell;"
875,Parasmittina tubulata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
880,Raymondcia osburni,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on rock, shell"
885,Smittina ovirotula,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,on hard substrates
886,Smittina veleroa,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on shell, rock"
887,Smittoidea prolifica,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on stone, shell, stems"
888,Stomachetosella condylata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,"on shell, rock"
794,Stomatopora granulata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,shallow water
846,Coleopora gigantea,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
862,Lagenicella neosocialis,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,"on algae, rock, shell, bryozoans"
863,Lagenicella punctulata,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,low,NA
864,Lagenicella spinulosa,adult,bryozoan,filter feeder,Light & Smith,not reported,NA,all,NA
